%Class,%Class,代码，显示NPC的职业名字。
%Name,%Name,《上古卷轴3：晨风》中的代码，通用对话中显示说话的NPC名字。
Erur-Dan's Cuirass,埃鲁-丹的胸甲,ARMO.FNAM
Erushara,厄鲁沙拉,CEL|NPC_.FNAM
Erval,埃瓦尔,CEL|NPC_.FNAM
Erval's House,埃瓦尔的房子,CEL
Ervas,埃瓦斯,NPC_.FNAM
Ervas Aradil,埃瓦斯·阿拉迪尔,NPC_.FNAM
Ervesa,厄维莎,NPC_.FNAM
Ervesa Romandas,厄维莎·罗曼达斯,NPC_.FNAM
Ervis,厄维斯,NPC_.FNAM|CONT.FNAM
Ervis Ules,厄维斯·乌莱斯,NPC_.FNAM
Ervis Verano,厄维斯·维拉诺,NPC_.FNAM
Ervis Verano's Chest,厄维斯·维拉诺的箱子,CONT.FNAM
Ervona,埃沃娜,NPC_.FNAM
Ervona Barys,埃沃娜·巴里斯,NPC_.FNAM
Ervyna,埃尔维娜,CEL|NPC_.FNAM
Ervyna Hlervu,埃尔维娜·赫勒武,NPC_.FNAM
Ervyna Hlervu's Shack,埃尔维娜·赫勒武的小屋,CEL
Ery,埃瑞,NPC_.FNAM
Esar-Don,埃萨尔-唐,NPC_.FNAM
Esar-Don Dunsamsi,埃萨尔-唐·邓桑西,NPC_.FNAM
Esatliballit,伊萨特力巴利特,NPC_.FNAM
Escape,逃|逸,SPEL.FNAM
Esdrecus,埃斯德雷克斯,NPC_.FNAM
Esdrufus,艾斯德鲁夫斯,NPC_.FNAM
Esdrufus Harsinia,艾斯德鲁夫斯·哈西尼亚,NPC_.FNAM
Esib-Nummu,艾斯比-努姆,NPC_.FNAM
Esib-Nummu Assunudadnud,艾斯比-努姆·阿桑努达德努德,NPC_.FNAM
Essagan,埃萨冈,NPC_.FNAM
Estalenya,埃斯塔莱妮娅,NPC_.FNAM
Estinan,埃斯蒂南,NPC_.FNAM
Estirdalin,埃斯特达林,NPC_.FNAM
Estoril,埃斯托利尔,NPC_.FNAM
Esurarnat,埃苏拉纳特,NPC_.FNAM
Esurnadarpal,埃苏纳达帕,NPC_.FNAM
Esutanamus,埃苏塔纳姆斯,CEL
et',1.起源|2.原始,艾诺菲语。
et'Ada,原灵,艾诺菲语。
Et-Ada,原灵,阿努和西帝斯的造物。
Eternal Champion,永恒勇士,The Elder Scrolls: Arena的主角。可能名为塔林。
Ethal,伊莎,NPC_.FNAM
Ethal Seloth,伊莎·瑟罗斯,NPC_.FNAM
Ethasi,艾塔希,NPC_.FNAM
Ethasi Rilvayn,艾塔希·里尔文,NPC_.FNAM
Ethes,埃瑟斯,NPC_.FNAM
Ethes Evos,埃瑟斯·埃沃斯,NPC_.FNAM
Ethys,埃赛斯,NPC_.FNAM
Ethys Savil,埃赛斯·萨维尔,NPC_.FNAM
Eton Nir,伊顿·尼尔,夏暮岛上最高的山，云憩城（Cloudrest）坐落其上。
Ettiene of Glenmoril Wyrd,格伦莫莉女巫团的艾蒂安,CREA.FNAM|NPC_.FNAM
Eutei,优泰,NPC_.FNAM
Evening Star,夜星月,GMST.STRV
Evergloam,永恒黄昏,诺克图娜尔的领域。
Evermore,永恒,
Eves,伊夫斯,NPC_.FNAM
Evesa,伊芙莎,NPC_.FNAM
Evesa Omalas,伊芙莎·奥马拉斯,NPC_.FNAM
Evil Eye,邪恶之眼,SPEL.FNAM
Evil Eye Charm,邪恶之眼项链,CLOT.FNAM
Evilu,伊维鲁,NPC_.FNAM
Evilu Indrano,伊维鲁·因德拉诺,NPC_.FNAM
Evo,埃沃,NPC_.FNAM
Evo Othreloth,埃沃·奥瑟罗斯,NPC_.FNAM
Evoker,唤灵师,FACT.RNAM
Evos,埃沃斯,CEL|NPC_.FNAM
Evos Goran,埃沃斯·戈兰,NPC_.FNAM
Evos Goran's House,埃沃斯·戈兰的房子,CEL
Exalted Master,尊者,FACT.RNAM
Excavated Ruin,被发掘的遗迹,
Excise Officer,收税官,FACT.RNAM
Exclusive Disease Resistance,高级的病抗药水,ALCH.FNAM
Exclusive Fire Resistance,高级的火抗药水,ALCH.FNAM
Exclusive Fortify Agility,高级的敏捷强化药水,ALCH.FNAM
Exclusive Fortify Attack,高级的攻击强化药水,ALCH.FNAM
Exclusive Fortify Endurance,高级的耐力强化药水,ALCH.FNAM
Exclusive Fortify Fatigue,高级的体力强化药水,ALCH.FNAM
Exclusive Fortify Health,高级的生命强化药水,ALCH.FNAM
Exclusive Fortify Intelligence,高级的智力强化药水,ALCH.FNAM
Exclusive Fortify Luck,高级的幸运强化药水,ALCH.FNAM
Exclusive Fortify Magicka,高级的魔力强化药水,ALCH.FNAM
Exclusive Fortify Personality,高级的魅力强化药水,ALCH.FNAM
Exclusive Fortify Speed,高级的速度强化药水,ALCH.FNAM
Exclusive Fortify Strength,高级的力量强化药水,ALCH.FNAM
Exclusive Fortify Willpower,高级的意志强化药水,ALCH.FNAM
Exclusive Frost Resistance,高级的冰抗药水,ALCH.FNAM
Exclusive Frost Shield,高级的冰盾药水,ALCH.FNAM
Exclusive Invisibility,高级的隐身药水,ALCH.FNAM
Exclusive Lightning Shield,高级的电盾药水,ALCH.FNAM
Exclusive Magicka Resistance,高级的魔抗药水,ALCH.FNAM
Exclusive Poison Resistance,高级的毒抗药水,ALCH.FNAM
Exclusive Potion of Burden,高级的重负药水,ALCH.FNAM
Exclusive Potion of Feather,高级的轻羽药水,ALCH.FNAM
Exclusive Potion of Fire Shield,高级的火盾药水,ALCH.FNAM
Exclusive Potion of Jump,高级的跳跃提升药水,ALCH.FNAM
Exclusive Potion of Light,高级的光明药水,ALCH.FNAM
Exclusive Potion of Night-Eye,高级的夜视药水,ALCH.FNAM
Exclusive Potion of Paralyze,高级的麻痹药水,ALCH.FNAM
Exclusive Potion of Reflection,高级的反射药水,ALCH.FNAM
Exclusive Potion of Shadow,高级的阴影药水,ALCH.FNAM
Exclusive Potion of Silence,高级的沉默药水,ALCH.FNAM
Exclusive Potion of Swift Swim,高级的迅游药水,ALCH.FNAM
Exclusive Restore Agility,高级的敏捷恢复药水,ALCH.FNAM
Exclusive Restore Endurance,高级的耐力恢复药水,ALCH.FNAM
Exclusive Restore Fatigue,高级的体力恢复药水,ALCH.FNAM
Exclusive Restore Health,高级的生命恢复药水,ALCH.FNAM
Exclusive Restore Intelligence,高级的智力恢复药水,ALCH.FNAM
Exclusive Restore Luck,高级的幸运恢复药水,ALCH.FNAM
Exclusive Restore Magicka,高级的魔力恢复药水,ALCH.FNAM
Exclusive Restore Personality,高级的魅力恢复药水,ALCH.FNAM
Exclusive Restore Speed,高级的速度恢复药水,ALCH.FNAM
Exclusive Restore Strength,高级的力量恢复药水,ALCH.FNAM
Exclusive Restore Willpower,高级的意志恢复药水,ALCH.FNAM
Exclusive Rising Force Potion,高级的上升之力药水,ALCH.FNAM
Exclusive Shock Resistance,高级的电抗药水,ALCH.FNAM
Exclusive Spell Absorption,高级的法术吸收药水,ALCH.FNAM
Executioner,处刑者,FACT.RNAM
Exhausted Mine,枯竭矿场,
Exhausted Mine Bottom Section,枯竭矿场-底层区域,
Exhausted Mine Spent Works,枯竭矿场-废弃矿区,
Exhausting Touch,疲倦之触,SPEL.FNAM
Exhaustion,疲倦术,SPEL.FNAM
Exit,出口,DOOR.FNAM
Exodus,出奔,奥德莫维洛斯带领部分精灵跟随预言指引到达了晨风。
EXPELLED,被除名,GMST.STRV
Expensive Amulet,昂贵的护符,CLOT.FNAM
Expensive Belt,昂贵的腰带,CLOT.FNAM
Expensive Left Glove,昂贵的左手套,CLOT.FNAM
Expensive Pants,昂贵的裤子,CLOT.FNAM
Expensive Right Glove,昂贵的右手套,CLOT.FNAM
Expensive Ring,昂贵的戒指,CLOT.FNAM
Expensive Robe,昂贵的袍子,CLOT.FNAM
Expensive Shirt,昂贵的衬衫,CLOT.FNAM
Expensive Shoes,昂贵的鞋子,CLOT.FNAM
Expensive Skirt,昂贵的裙子,CLOT.FNAM
Exquisite Amulet,精致的护符,CLOT.FNAM
Exquisite Belt,精致的腰带,CLOT.FNAM
Exquisite Pants,精致的裤子,CLOT.FNAM
Exquisite Ring,精致的戒指,CLOT.FNAM
Exquisite Robe,精致的袍子,CLOT.FNAM
Exquisite Shirt,精致的衬衫,CLOT.FNAM
Exquisite Shoes,精致的鞋子,CLOT.FNAM
Exquisite Skirt,精致的裙子,CLOT.FNAM

Extra-Comfy Pillow,格外舒适的枕头,MISC.FNAM
Extravagant Belt,奢侈的腰带,CLOT.FNAM
Extravagant Left Glove,奢侈的左手套,CLOT.FNAM
Extravagant Pants,奢侈的裤子,CLOT.FNAM
Extravagant Right Glove,奢侈的右手套,CLOT.FNAM
Extravagant Ring,奢侈的戒指,CLOT.FNAM
Extravagant Robe,奢侈的袍子,CLOT.FNAM
Extravagant Ruby Amulet,奢侈的红宝石护符,CLOT.FNAM
Extravagant Sapphire Amulet,奢侈的蓝宝石护符,CLOT.FNAM
Extravagant Shirt,奢侈的衬衫,CLOT.FNAM
Extravagant Shoes,奢侈的鞋子,CLOT.FNAM
Extravagant Skirt,奢侈的裙子,CLOT.FNAM
Eydis,艾迪斯,NPC_.FNAM
Eydis Fire-Eye,艾迪斯·火眼,NPC_.FNAM
Eye,眼,LIGH.FNAM
Eye of Duggan,达根之眼,CEL
Eye of Fear,恐惧之眼,SPEL.FNAM
Eye of Night,黑夜之眼,SPEL.FNAM
Eye of Talos,塔洛斯之眼,SPEL.FNAM
Eye of the Wolf,狼之眼,SPEL.FNAM
Eye of Thom Wye,托姆·怀之眼,CEL
Eye-Fly,飞眼,NPC_.FNAM
Eye-Maze,迷目术,SPEL.FNAM
Eye-Maze Ring,迷目之戒,CLOT.FNAM
Eyearata,埃阿拉塔,一处位于贝托尼岛的亚历德遗迹，可能意为“崇高圣所”。
Eyes of the Serpent,蛇之眼,
Eyevea,埃维阿,可能意为“海中圣所”，夏暮岛的一部分，被沙利多买下用作法师公会的隐修所，后被谢尔格拉斯夺走。
F'lah,老乡,<q>Native<q>的方言版。
Fabricant Shock,械构体电击,SPEL.FNAM
Facian,法西安,NPC_.FNAM
Facility Cavern,设施巢穴,CEL
Faction,派系,GMST.STRV
Factor,负责人,FACT.RNAM
Factor's Estate,代理商府邸,CEL
Fadase,法达斯,NPC_.FNAM
Fadase Selvayn,法达斯·塞尔文,NPC_.FNAM
Fadase Selvayn: Trader,法达斯·塞尔文：贸易商,CEL|ACTI.FNAM
Fadathram Ancestral Tomb,法达斯拉姆先祖墓穴,CEL
Fadila,法迪拉,CEL
Fadila Balvel's House,法迪拉·巴尔维尔的房子,CEL
Fadile,法迪尔,NPC_.FNAM
Fadile Balvel,法迪尔·巴尔维尔,NPC_.FNAM
Fadomai,法多梅,*详见Padomay词条。卡吉特神话中的帕多梅。
Fadren,法德伦,NPC_.FNAM
Fadren Dalis,法德伦·达利斯,NPC_.FNAM
Fahlbtharz,法巴撒兹,位于索瑟泰姆岛北部山脉的锻莫遗迹。锻莫语“bth”发音等同于泰姆瑞尔通用语“bath”发音。
Fainertil,法纳蒂尔,NPC_.FNAM
Fair Helas,公正赫拉斯号,CEL
Faire,凡勒,NPC_.FNAM
Fake Soul Gem,伪造的灵魂石,MISC.FNAM
Falam,法拉姆,NPC_.FNAM
Falam Hlaalu,法拉姆·哈拉鲁,NPC_.FNAM
Falanaamo,法拉那摩,NPC_.FNAM
Falanaamo: Clothier,法拉那摩：服饰商,CEL|ACTI.FNAM
Falandas,法兰达斯,NPC_.FNAM
Falanu,法拉努,NPC_.FNAM
Falanu Indaren,法拉努·英达伦,NPC_.FNAM
Falas,法拉斯,NPC_.FNAM
Falas Ancestral Tomb,法拉斯先祖墓穴,CEL
Falasmaryon,法拉斯马里昂,CEL
Falasmaryon Propylon,法拉斯马里昂引路器,ACTI.FNAM
Falasmaryon Propylon Index,法拉斯马里昂引路石,MISC.FNAM
Falavel,法拉维尔,NPC_.FNAM
Falco,法尔科,NPC_.FNAM
Falco Galenus,法尔科·盖勒纳斯,NPC_.FNAM
Falcreath,佛科瑞斯,即Falkreath。
Falcrenth,佛克伦斯,即Falkreath。
Faldan,法尔丹,NPC_.FNAM
Falen,法伦,CEL|NPC_.FNAM
Falena,法雷娜,NPC_.FNAM
Falena Hlaren,法雷娜·哈拉伦,NPC_.FNAM
Falensarano,法伦萨拉诺,CEL
Falensarano Propylon,法伦萨拉诺引路器,ACTI.FNAM
Falensarano Propylon Index,法伦萨拉诺引路石,MISC.FNAM
Falinesti,法琳奈斯提,瓦伦伍德移动树城。
Falinesti Peeper,法琳奈斯提窥视者,一种来自法琳奈斯提的稀有红色青蛙。
Falion,法里昂,NPC_.FNAM
Falkreath,佛克瑞斯,奥德莫语。
Fall of the Snow Prince,《雪王子的陨落》,BOOK.FNAM
Fallaise of Glenmoril Wyrd,格伦莫莉女巫团的法莱兹,NPC_.FNAM
Fallen Rock Cave,落石洞穴,地名。
Falmer,伐莫,又名雪精灵，曾与诺德人在天际地区分庭抗礼，而后堕落为怪物。-mer是非人类语境下的称呼，翻译时不能直接翻译为雪精灵，要遵循原文翻译为伐莫。
Falos,法洛斯,NPC_.FNAM
Fals,法拉斯,CREA.FNAM|MISC.FNAM|NPC_.FNAM
Falso,法尔索,NPC_.FNAM
Falso Sadrys,法尔索·萨德瑞斯,NPC_.FNAM
Falura,法露拉,NPC_.FNAM
Falura Llervu,法露拉·列乌,NPC_.FNAM
Falvani,法尔瓦尼,NPC_.FNAM
Falvel,法维尔,NPC_.FNAM
Falvel Arenim,法维尔·阿雷尼姆,NPC_.FNAM
Falvillo,法维洛,CEL
Falvillo's Endeavor,法维洛的奋进号,CEL
Falvilo,法维洛,CEL
Falvilo's Endeavor,法维洛的奋进号,CEL
Falvis,法维斯,NPC_.FNAM
Falvis Tunel,法维斯·图内尔,NPC_.FNAM
Famalius,法马利乌斯,NPC_.FNAM
Famed Artifacts of Tamriel,《泰姆瑞尔的闻名至宝》,BOOK.FNAM
Fammana,法玛娜,NPC_.FNAM
Famori,法莫里,NPC_.FNAM
Fanacas,法纳卡斯,夏丁赫尔北部瓦卢斯山脉的一座小型亚历德遗迹。
Fanacasecul,法纳卡瑟库尔,位于帝都西边劳玛瑞湖畔的一处小型亚历德遗迹。
Fanar,法纳尔,CEL|NPC_.FNAM
Fanar Fork-Beard,法纳尔·八字胡,NPC_.FNAM
Fanar Fork-Beard's House,法纳尔·八字胡的房子,CEL
Fanasa,法纳萨,NPC_.FNAM
Fanasa Ienith,法纳萨·伊尼思,NPC_.FNAM
Fandril,凡德里尔,CREA.FNAM
Fandus,凡杜斯,NPC_.FNAM
Fandus Puruseius,凡杜斯·普鲁赛乌斯,NPC_.FNAM
Fang of Haynekhtnamet,赫耐卡纳梅特之牙,WEAP.FNAM
Fangs of the Serpent,蛇之牙,
Fanildil,法妮蒂尔,NPC_.FNAM
Fanisea,法妮西娅,CEL|NPC_.FNAM
Fanisea Irano,法妮西娅·伊拉诺,NPC_.FNAM
Fanisea Irano's Farmhouse,法妮西娅·伊拉诺的农舍,CEL
Fanuse,法努塞,NPC_.FNAM
Fanuse Farano,法努塞·法拉诺,NPC_.FNAM
Far Falkreath Estate,远佛克瑞斯邦国,第二纪元末佛克瑞斯的一个政权。
Far Shores,远岸,红卫神话中的来世，只有有资格的勇士才能进入，享受无尽的武艺切磋。
Far Silence,大沉默术,SPEL.FNAM
Fara,法拉,CEL|ACTI.FNAM|NPC_.FNAM
Fara's Hole in the Wall,法拉的墙洞,CEL|ACTI.FNAM
Faral,法拉,NPC_.FNAM
Faral Retheran,法拉·雷瑟兰,NPC_.FNAM
Faralen,法拉伦,NPC_.FNAM
Faralenu,法拉乐努,NPC_.FNAM
Faralenu Henim,法拉乐努·赫尼姆,NPC_.FNAM
Faram,法拉姆,BOOK.FNAM|NPC_.FNAM
Farandas,法兰达斯,NPC_.FNAM
Farano,法拉诺,NPC_.FNAM|CONT.FNAM
Farare,法拉瑞,NPC_.FNAM
Farare Othril,法拉瑞·奥瑟里尔,NPC_.FNAM
Faras,法拉斯,NPC_.FNAM
Faras Thirano,法拉斯·提拉诺,NPC_.FNAM
Faravel,法拉维尔,NPC_.FNAM
Fareloth,法雷洛斯,NPC_.FNAM
Faren,法伦,NPC_.FNAM
Farena,法雷娜,NPC_.FNAM
Farena Arelas,法雷娜·阿雷拉斯,NPC_.FNAM
Farethan,法雷坦,NPC_.FNAM
Farethi,法雷蒂,NPC_.FNAM
Fargoth,法格斯,CEL|NPC_.FNAM
Fargoth's House,法格斯的房子,CEL
Faric,法里克,NPC_.FNAM
Faric Panoit,法里克·帕诺伊特,NPC_.FNAM
Farmer,农民,CLAS.FNAM
Farmers and Laborers Hall,农人和劳工的大厅,ACTI.FNAM
Farmhouse,农舍,CEL
Farmin,法明,NPC_.FNAM
Farothran,法罗杉,NPC_.FNAM
Farr,法尔,NPC_.FNAM
Farrun,法伦,
Farseer,先知|远见者,FACT.RNAM|NPC_.FNAM
Farusea,法露西娅,CEL|NPC_.FNAM
Farusea Salas,法露西娅·萨拉斯,NPC_.FNAM
Farusea Salas' House,法露西娅·萨拉斯的房子,CEL
Farvam,法瓦姆,NPC_.FNAM
Farvam Faram,法瓦姆·法拉姆,NPC_.FNAM
Farvyn,法尔文,NPC_.FNAM
Farvyn Oreyn,法尔文·奥雷恩,NPC_.FNAM
Faryon,法利昂,NPC_.FNAM
Farys,法里斯,NPC_.FNAM
Fasele,法塞莱,NPC_.FNAM
Fasele Viralaine,法塞莱·维拉莱恩,NPC_.FNAM
Fasile,法希乐,NPC_.FNAM
Fasile Charascel,法希乐·查拉斯塞尔,NPC_.FNAM
Fast Eddie,飞毛腿埃迪,CEL
Fast Eddie's House,飞毛腿埃迪的房子,CEL
Fat Lute,大号鲁特琴,MISC.FNAM
Fat Ramp Camp,肥坡营地,可能为Fat Rat Camp之误。
Fat Rat Camp,肥鼠营地,
Fatback Cave,背膘洞穴,
Fatback Deep Basins,背膘-深处洼地,
Fatback Great Chamber,背膘-大洞厅,
Fate-Changer,命运改变者,*详见Ithelia词条。
Fathasa,法塔萨,CLOT.FNAM|NPC_.FNAM
Fathasa Llethri,法塔萨·莱特里,NPC_.FNAM
Fathasa's Ring,法塔萨的戒指,CLOT.FNAM
Father Ahaz,先驱阿哈兹,SPEL.FNAM
Father of Cataclysm,灾变之父,*详见Mehrunes Dagon词条。
Father's Belt,父佑腰带,CLOT.FNAM
Father's Hand,先驱之手,SPEL.FNAM
Fatheran,法瑟兰,NPC_.FNAM
Fathis Aren,法提斯·艾伦,
Fathis Aren's Tower,法提斯·艾伦之塔,
Fathusa,法图萨,NPC_.FNAM
Fathusa Girethi,法图萨·吉雷蒂,NPC_.FNAM
Fathyron,法瑟隆,NPC_.FNAM
Fatigue,体力,GMST.STRV
Fatleg's Drop Off,肥腿落客,CEL
Faulgor,福尔格,NPC_.FNAM
Fauseius,福塞尤斯,NPC_.FNAM
Faustus,福斯图斯,NPC_.FNAM
Favani,法瓦妮|法瓦尼,NPC_.FNAM
Favani Faryon,法瓦妮·法利昂,NPC_.FNAM
Favas,法瓦斯,NPC_.FNAM
Favas Nilem,法瓦斯·尼勒姆,NPC_.FNAM
Favel,法维尔,NPC_.FNAM
Favel Ancestral Tomb,法维尔先祖墓穴,CEL
Favel Gobor,法维尔·戈博尔,NPC_.FNAM
Favela,法维拉,NPC_.FNAM
Favela Dralor,法维拉·德拉罗,NPC_.FNAM
Favelnim,法维尼姆,CEL|NPC_.FNAM
Faven,法文,NPC_.FNAM
Faven Arns,法文·阿恩斯,NPC_.FNAM
Faver,法维尔,NPC_.FNAM
Faver Seran,法维尔·瑟然,NPC_.FNAM
Faveran,法弗兰,NPC_.FNAM
Faves,法乌斯,NPC_.FNAM
Faves Andas,法乌斯·安达斯,NPC_.FNAM
Favilea,法维利雅,NPC_.FNAM
Favilea Sathendas,法维利雅·萨坦达斯,NPC_.FNAM
Favise,法维斯,NPC_.FNAM
Favise Selaren,法维斯·塞拉伦,NPC_.FNAM
Favona,法沃娜,NPC_.FNAM
Favona Gilnith,法沃娜·吉尔尼斯,NPC_.FNAM
Favorite Skills,偏好技能,GMST.STRV
Fay,妖精之力,SPEL.FNAM
Fearsome Grahl,可怕的格拉尔,CREA.FNAM
Fearstruck,恐惧强袭,一面强大的盾牌。
Feast,享用,SPEL.FNAM
Feather,轻羽|轻羽术,GMST.STRV|SPEL.FNAM
Feather Belt,轻羽腰带,CLOT.FNAM
Feather Ring,轻羽之戒,CLOT.FNAM
Feather Shield,轻羽之盾,ARMO.FNAM
Fedar,费达,CEL|NPC_.FNAM
Fedar Davus,费达·达乌斯,NPC_.FNAM
Fedar Davus's House,费达·达乌斯的房子,CEL
Fedos,费多斯,NPC_.FNAM
Fedris,费德里斯,NPC_.FNAM
Fedris Hler,费德里斯·赫勒,NPC_.FNAM
Fedris Tharen,费德里斯·莎伦,NPC_.FNAM
Fedura,费杜拉,NPC_.FNAM
Fedura Sethan,费杜拉·瑟珊,NPC_.FNAM
Feet of Notorgo,诺托果之足,SPEL.FNAM
Felannus,费兰努斯,CEL|NPC_.FNAM
Felara,费拉拉,NPC_.FNAM
Felara Andrethi,费拉拉·安德雷西,NPC_.FNAM
Felara Thimalvel,费拉拉·提玛威尔,NPC_.FNAM
Felas,费拉斯,CEL|NPC_.FNAM
Felayn,费雷恩,NPC_.FNAM
Felayn Andral,费雷恩·安德拉尔,NPC_.FNAM
Felder,费尔德,NPC_.FNAM
Feldrelo,菲德雷络,NPC_.FNAM
Feldrelo Sadri,菲德雷络·萨德利,NPC_.FNAM
Felen,费伦,NPC_.FNAM|WEAP.FNAM
Felen Maryon,费伦·马里昂,NPC_.FNAM
Felen's Ebony Staff,费伦的黑檀法杖,WEAP.FNAM
Felgageldt Cave,法尔加盖尔特洞穴,或可能的“法尔加花园洞穴”，geldt取荷兰语。
Felgageldt Wishbone Vault,法尔加盖尔特-叉骨地厅,
Felisa,菲丽莎,NPC_.FNAM
Felisa Ulessen,菲丽莎·乌雷森,NPC_.FNAM
Felisi,菲利斯,NPC_.FNAM
Felisi Serano,菲利斯·瑟然诺,NPC_.FNAM
Fell's Run,费尔之湍,
Felldew,欢欣露,战栗群岛的一种毒品。
Fellmoor,落沼,痴癫区的一座农业小村。
Fellowship of the Temple,《神殿团契》,BOOK.FNAM
Felm,费尔姆斯,CLOT.FNAM
Felmena,菲美娜,NPC_.FNAM
Felmena Falavel,菲美娜·法拉维尔,NPC_.FNAM
Felmis,费尔米斯,CREA.FNAM
Felms,费尔姆斯,SPEL.FNAM
Felms' Glory,费尔姆斯之荣耀,SPEL.FNAM
Fels,费尔斯,NPC_.FNAM
Felsa,费尔萨,NPC_.FNAM
Felsa Hleran,费尔萨·勒兰,NPC_.FNAM
Felsaad,法萨德,
Felsu,菲尔苏,NPC_.FNAM
Felsu Telas,菲尔苏·特拉斯,NPC_.FNAM
Felvan,费尔文,NPC_.FNAM
Felvan Ienith,费尔文·伊尼思,NPC_.FNAM
Felvos,费尔沃斯,NPC_.FNAM
Felvos Droryn,费尔沃斯·德罗林,NPC_.FNAM
Female Imperial Innocent,女帝国人无辜者,NPC_.FNAM
Female Nord Innocent,女诺德人无辜者,NPC_.FNAM
Femer,费末,NPC_.FNAM
Femer Veralor,费末·维拉罗,NPC_.FNAM
Fenas,费纳斯,NPC_.FNAM
Fenas Madach,费纳斯·马达奇,NPC_.FNAM
Fendel,芬德尔,NPC_.FNAM
Fendel Alam,芬德尔·阿拉姆,NPC_.FNAM
Fendel Hlaren,芬德尔·哈拉伦,NPC_.FNAM
Fendros,芬多罗斯,NPC_.FNAM
Fendros Varys,芬多罗斯·瓦里斯,NPC_.FNAM
Fendryn,费德林,NPC_.FNAM
Fendryn Delvi,费德林·德尔维,NPC_.FNAM
Fendyn,芬丁,NPC_.FNAM
Fenrick,芬瑞克,CLOT.FNAM|SPEL.FNAM
Fenrick's Doorjam,芬瑞克的阻塞术,SPEL.FNAM
Fenrick's Doorjam Ring,芬瑞克的阻塞术戒指,CLOT.FNAM
Fentula,芬图拉,NPC_.FNAM
Fentula Pevengius,芬图拉·佩文吉乌斯,NPC_.FNAM
Feralea,费拉利亚,NPC_.FNAM
Feralea Ramori,费拉利亚·拉莫里,NPC_.FNAM
Feranos,费拉诺斯,NPC_.FNAM
Feranos Hlando,费拉诺斯·赫兰多,NPC_.FNAM
Ferarilie,费拉利莱,NPC_.FNAM
Ferarilie Riscel,费拉利莱·里塞尔,NPC_.FNAM
Ferele,费雷勒,NPC_.FNAM
Ferele Athram,费雷勒·阿瑟拉姆,NPC_.FNAM
Ferele Athram: Trader,费雷勒·阿瑟拉姆：贸易商,CEL|ACTI.FNAM
Fererus,费勒鲁斯,NPC_.FNAM
Feril,费里尔,NPC_.FNAM
Feril Salmyn's Corpse,费里尔·萨尔敏的尸体,NPC_.FNAM
Ferise,费里斯,NPC_.FNAM
Ferise Varo,费里斯·瓦罗,NPC_.FNAM
Ferone,费罗妮,NPC_.FNAM
Ferone Veran,费罗妮·维兰,NPC_.FNAM
Feruren,费鲁伦,NPC_.FNAM
Feruren Oran,费鲁伦·奥兰,NPC_.FNAM
Fervas,费瓦斯,CREA.FNAM|NPC_.FNAM
Fervas Reloro,费瓦斯·雷洛罗,NPC_.FNAM
Fervsea,菲维莎,NPC_.FNAM
Fervsea Girothran,菲维莎·基罗瑟兰,NPC_.FNAM
Ferynu,费里努,NPC_.FNAM
Ferynu Indrano,费里努·因德拉诺,NPC_.FNAM
Fetcher,毛贼,意为“小偷”。脏话。
fetcherfly,擢蜂,小型、无敌意的带翼昆虫，常徘徊于地面，在熔岩与灰烬地亦有分布。
Fevasa,菲维莎,NPC_.FNAM
Fevasa Saryon,菲维莎·萨里昂,NPC_.FNAM
Fevila,费维拉,CEL|NPC_.FNAM
Fevila Bethrano,费维拉·贝特拉诺,NPC_.FNAM
Fevila Bethrano's Shack,费维拉·贝特拉诺的小屋,CEL
Fevris,费弗里斯,NPC_.FNAM
Fevris Senoril,费弗里斯·塞诺里尔,NPC_.FNAM
Fevur,法夫尔,NPC_.FNAM
Fevus,费乌斯,NPC_.FNAM
Fevus Aryon,费乌斯·阿里昂,NPC_.FNAM
Fevyn,费文,NPC_.FNAM
Fevyn Ralen,费文·拉伦,NPC_.FNAM
Fey,骨,艾诺菲语。
Feyfolken,费福根,BOOK.FNAM
Feyfolken I,《费福根·卷一》,BOOK.FNAM
Feyfolken II,《费福根·卷二》,BOOK.FNAM
Feyfolken III,《费福根·卷三》,BOOK.FNAM
Fickledire,无常危炉,
Fieldhouse Cave,球馆洞穴,
Fields of Kummu,库姆原野,CEL
Fields of Kummu Blessing,库姆之野神祠的祝福,SPEL.FNAM
Fields of Kummu Shrine,库姆之野圣祠,ACTI.FNAM
Fields of Regret,悔恨原野,克拉威库斯·维尔的领域。
Fiend Battle Axe,邪魔巨斧,WEAP.FNAM
Fiend Helm,邪魔头盔,ARMO.FNAM
Fiend Katana,邪魔武士刀,WEAP.FNAM
Fiend Longbow,邪魔长弓,WEAP.FNAM
Fiend Spear,邪魔长枪,WEAP.FNAM
Fiend Tanto,邪魔短刀,WEAP.FNAM
Fiendroth,魔甲虫,
Fierce Fire Shield,狂烈火焰护盾,SPEL.FNAM
Fierce Frost Shield,狂烈冰霜护盾,SPEL.FNAM
Fierce Shock Shield,狂烈闪电护盾,SPEL.FNAM
Fiery One,炽热者,*详见Vorys词条
Fieryra,菲耶拉,NPC_.FNAM
Fifth Barrier,五级屏障,SPEL.FNAM
Fighter Ring,战士之戒,CLOT.FNAM
Fighters Guild,战士公会,FACT.FNAM
Fighters Guild Charter,《战士公会章程》,BOOK.FNAM
Fighters' Guild,战士公会,ACTI.FNAM
Fighters' Guild Equipment Chest,战士公会装备箱,CONT.FNAM
